參賽者編號,參賽者暱稱,週期編號,週期開始日期,週期結束日期,週期步數
W08,藍鯨08,P01,2026/06/08,2026/06/21,125192
W08,藍鯨08,P02,2026/06/22,2026/07/05,136203
W08,藍鯨08,P03,2026/07/06,2026/07/19,147458
W08,藍鯨08,P04,2026/07/20,2026/08/02,157524
W08,藍鯨08,P05,2026/08/03,2026/08/16,165258
W08,藍鯨08,P06,2026/08/17,2026/08/30,170089
W08,藍鯨08,P07,2026/08/31,2026/09/13,172156
W08,藍鯨08,P08,2026/09/14,2026/09/27,172275
W08,藍鯨08,P09,2026/09/28,2026/10/11,171739
W09,藍鯨09,P01,2026/06/08,2026/06/21,138701
W09,藍鯨09,P02,2026/06/22,2026/07/05,151543
W09,藍鯨09,P03,2026/07/06,2026/07/19,162808
W09,藍鯨09,P04,2026/07/20,2026/08/02,171500
W09,藍鯨09,P05,2026/08/03,2026/08/16,177254
W09,藍鯨09,P06,2026/08/17,2026/08/30,180424
W09,藍鯨09,P07,2026/08/31,2026/09/13,181996
W09,藍鯨09,P08,2026/09/14,2026/09/27,183350
W09,藍鯨09,P09,2026/09/28,2026/10/11,185915
W10,藍鯨10,P01,2026/06/08,2026/06/21,142884
W10,藍鯨10,P02,2026/06/22,2026/07/05,146256
W10,藍鯨10,P03,2026/07/06,2026/07/19,146872
W10,藍鯨10,P04,2026/07/20,2026/08/02,144582
W10,藍鯨10,P05,2026/08/03,2026/08/16,139945
W10,藍鯨10,P06,2026/08/17,2026/08/30,134098
W10,藍鯨10,P07,2026/08/31,2026/09/13,128472
W10,藍鯨10,P08,2026/09/14,2026/09/27,124444
W10,藍鯨10,P09,2026/09/28,2026/10/11,123000
W11,藍鯨11,P01,2026/06/08,2026/06/21,152851
W11,藍鯨11,P02,2026/06/22,2026/07/05,154378
W11,藍鯨11,P03,2026/07/06,2026/07/19,153095
W11,藍鯨11,P04,2026/07/20,2026/08/02,149756
W11,藍鯨11,P05,2026/08/03,2026/08/16,145620
W11,藍鯨11,P06,2026/08/17,2026/08/30,142140
W11,藍鯨11,P07,2026/08/31,2026/09/13,140609
W11,藍鯨11,P08,2026/09/14,2026/09/27,141843
W11,藍鯨11,P09,2026/09/28,2026/10/11,145979
W12,藍鯨12,P01,2026/06/08,2026/06/21,158026
W12,藍鯨12,P02,2026/06/22,2026/07/05,157819
W12,藍鯨12,P03,2026/07/06,2026/07/19,155893
W12,藍鯨12,P04,2026/07/20,2026/08/02,153602
W12,藍鯨12,P05,2026/08/03,2026/08/16,152388
W12,藍鯨12,P06,2026/08/17,2026/08/30,153429
W12,藍鯨12,P07,2026/08/31,2026/09/13,157352
W12,藍鯨12,P08,2026/09/14,2026/09/27,164078
W12,藍鯨12,P09,2026/09/28,2026/10/11,172841
W13,藍鯨13,P01,2026/06/08,2026/06/21,158786
W13,藍鯨13,P02,2026/06/22,2026/07/05,158397
W13,藍鯨13,P03,2026/07/06,2026/07/19,158083
W13,藍鯨13,P04,2026/07/20,2026/08/02,159242
W13,藍鯨13,P05,2026/08/03,2026/08/16,162912
W13,藍鯨13,P06,2026/08/17,2026/08/30,169518
W13,藍鯨13,P07,2026/08/31,2026/09/13,178763
W13,藍鯨13,P08,2026/09/14,2026/09/27,189707
W13,藍鯨13,P09,2026/09/28,2026/10/11,200991
W14,藍鯨14,P01,2026/06/08,2026/06/21,157308
W14,藍鯨14,P02,2026/06/22,2026/07/05,159099
W14,藍鯨14,P03,2026/07/06,2026/07/19,162727
W14,藍鯨14,P04,2026/07/20,2026/08/02,169065
W14,藍鯨14,P05,2026/08/03,2026/08/16,178326
W14,藍鯨14,P06,2026/08/17,2026/08/30,190004
W14,藍鯨14,P07,2026/08/31,2026/09/13,203003
W14,藍鯨14,P08,2026/09/14,2026/09/27,215904
W14,藍鯨14,P09,2026/09/28,2026/10/11,227310
W15,藍鯨15,P01,2026/06/08,2026/06/21,147684
W15,藍鯨15,P02,2026/06/22,2026/07/05,144860
W15,藍鯨15,P03,2026/07/06,2026/07/19,144886
W15,藍鯨15,P04,2026/07/20,2026/08/02,147756
W15,藍鯨15,P05,2026/08/03,2026/08/16,152767
W15,藍鯨15,P06,2026/08/17,2026/08/30,158691
W15,藍鯨15,P07,2026/08/31,2026/09/13,164079
W15,藍鯨15,P08,2026/09/14,2026/09/27,167612
W15,藍鯨15,P09,2026/09/28,2026/10/11,168424
W16,藍鯨16,P01,2026/06/08,2026/06/21,150655
W16,藍鯨16,P02,2026/06/22,2026/07/05,153368
W16,藍鯨16,P03,2026/07/06,2026/07/19,158782
W16,藍鯨16,P04,2026/07/20,2026/08/02,166013
W16,藍鯨16,P05,2026/08/03,2026/08/16,173730
W16,藍鯨16,P06,2026/08/17,2026/08/30,180485
W16,藍鯨16,P07,2026/08/31,2026/09/13,185064
W16,藍鯨16,P08,2026/09/14,2026/09/27,186788
W16,藍鯨16,P09,2026/09/28,2026/10/11,185675
W17,藍鯨17,P01,2026/06/08,2026/06/21,158498
W17,藍鯨17,P02,2026/06/22,2026/07/05,166375
W17,藍鯨17,P03,2026/07/06,2026/07/19,175704
W17,藍鯨17,P04,2026/07/20,2026/08/02,185080
W17,藍鯨17,P05,2026/08/03,2026/08/16,193090
W17,藍鯨17,P06,2026/08/17,2026/08/30,198654
W17,藍鯨17,P07,2026/08/31,2026/09/13,201292
W17,藍鯨17,P08,2026/09/14,2026/09/27,201238
W17,藍鯨17,P09,2026/09/28,2026/10/11,199388
W18,藍鯨18,P01,2026/06/08,2026/06/21,170501
W18,藍鯨18,P02,2026/06/22,2026/07/05,181799
W18,藍鯨18,P03,2026/07/06,2026/07/19,192705
W18,藍鯨18,P04,2026/07/20,2026/08/02,201871
W18,藍鯨18,P05,2026/08/03,2026/08/16,208376
W18,藍鯨18,P06,2026/08/17,2026/08/30,211949
W18,藍鯨18,P07,2026/08/31,2026/09/13,213037
W18,藍鯨18,P08,2026/09/14,2026/09/27,212696
W18,藍鯨18,P09,2026/09/28,2026/10/11,212331
