參賽者編號,參賽者暱稱,週期編號,週期開始日期,週期結束日期,是否有效,周步數
3,健走03,14,2026/09/07,2026/09/13,是,75186
3,健走03,15,2026/09/14,2026/09/20,是,73537
3,健走03,16,2026/09/21,2026/09/27,是,79929
3,健走03,17,2026/09/28,2026/10/04,是,78280
3,健走03,18,2026/10/05,2026/10/11,是,76631
4,健走04,1,2026/06/08,2026/06/14,是,64454
4,健走04,2,2026/06/15,2026/06/21,是,62805
4,健走04,3,2026/06/22,2026/06/28,是,61156
4,健走04,4,2026/06/29,2026/07/05,是,67548
4,健走04,5,2026/07/06,2026/07/12,是,65899
4,健走04,6,2026/07/13,2026/07/19,是,64250
4,健走04,7,2026/07/20,2026/07/26,是,70642
4,健走04,8,2026/07/27,2026/08/02,是,68993
4,健走04,9,2026/08/03,2026/08/09,是,75385
4,健走04,10,2026/08/10,2026/08/16,是,73736
4,健走04,11,2026/08/17,2026/08/23,是,72087
4,健走04,12,2026/08/24,2026/08/30,是,78479
4,健走04,13,2026/08/31,2026/09/06,是,76830
4,健走04,14,2026/09/07,2026/09/13,是,75181
4,健走04,15,2026/09/14,2026/09/20,是,81573
4,健走04,16,2026/09/21,2026/09/27,是,79924
4,健走04,17,2026/09/28,2026/10/04,是,78275
4,健走04,18,2026/10/05,2026/10/11,是,84667
5,健走05,1,2026/06/08,2026/06/14,是,64449
5,健走05,2,2026/06/15,2026/06/21,是,62800
5,健走05,3,2026/06/22,2026/06/28,是,69192
5,健走05,4,2026/06/29,2026/07/05,是,67543
5,健走05,5,2026/07/06,2026/07/12,是,73935
5,健走05,6,2026/07/13,2026/07/19,是,72286
5,健走05,7,2026/07/20,2026/07/26,是,70637
5,健走05,8,2026/07/27,2026/08/02,是,77029
5,健走05,9,2026/08/03,2026/08/09,是,75380
5,健走05,10,2026/08/10,2026/08/16,是,73731
5,健走05,11,2026/08/17,2026/08/23,是,80123
5,健走05,12,2026/08/24,2026/08/30,是,78474
5,健走05,13,2026/08/31,2026/09/06,是,76825
5,健走05,14,2026/09/07,2026/09/13,是,83217
5,健走05,15,2026/09/14,2026/09/20,是,81568
5,健走05,16,2026/09/21,2026/09/27,是,87960
5,健走05,17,2026/09/28,2026/10/04,是,86311
5,健走05,18,2026/10/05,2026/10/11,是,84662
6,健走06,1,2026/06/08,2026/06/14,是,72485
6,健走06,2,2026/06/15,2026/06/21,是,70836
6,健走06,3,2026/06/22,2026/06/28,是,69187
6,健走06,4,2026/06/29,2026/07/05,是,75579
6,健走06,5,2026/07/06,2026/07/12,是,73930
6,健走06,6,2026/07/13,2026/07/19,是,72281
6,健走06,7,2026/07/20,2026/07/26,是,78673
6,健走06,8,2026/07/27,2026/08/02,是,77024
6,健走06,9,2026/08/03,2026/08/09,是,75375
6,健走06,10,2026/08/10,2026/08/16,是,81767
6,健走06,11,2026/08/17,2026/08/23,是,80118
6,健走06,12,2026/08/24,2026/08/30,是,86510
6,健走06,13,2026/08/31,2026/09/06,是,84861
6,健走06,14,2026/09/07,2026/09/13,是,83212
6,健走06,15,2026/09/14,2026/09/20,是,89604
6,健走06,16,2026/09/21,2026/09/27,是,87955
6,健走06,17,2026/09/28,2026/10/04,是,86306
6,健走06,18,2026/10/05,2026/10/11,是,92698
7,健走07,1,2026/06/08,2026/06/14,是,72480
7,健走07,2,2026/06/15,2026/06/21,是,70831
7,健走07,3,2026/06/22,2026/06/28,是,77223
7,健走07,4,2026/06/29,2026/07/05,是,75574
7,健走07,5,2026/07/06,2026/07/12,是,73925
7,健走07,6,2026/07/13,2026/07/19,是,80317
7,健走07,7,2026/07/20,2026/07/26,是,78668
7,健走07,8,2026/07/27,2026/08/02,是,85060
7,健走07,9,2026/08/03,2026/08/09,是,83411
7,健走07,10,2026/08/10,2026/08/16,是,81762
7,健走07,11,2026/08/17,2026/08/23,是,88154
7,健走07,12,2026/08/24,2026/08/30,是,86505
7,健走07,13,2026/08/31,2026/09/06,是,84856
7,健走07,14,2026/09/07,2026/09/13,是,91248
7,健走07,15,2026/09/14,2026/09/20,是,89599
7,健走07,16,2026/09/21,2026/09/27,是,87950
7,健走07,17,2026/09/28,2026/10/04,是,94342
7,健走07,18,2026/10/05,2026/10/11,是,92693
8,健走08,1,2026/06/08,2026/06/14,是,72475
8,健走08,2,2026/06/15,2026/06/21,是,78867
8,健走08,3,2026/06/22,2026/06/28,是,77218
8,健走08,4,2026/06/29,2026/07/05,是,83610
8,健走08,5,2026/07/06,2026/07/12,是,81961
8,健走08,6,2026/07/13,2026/07/19,是,80312
8,健走08,7,2026/07/20,2026/07/26,是,86704
8,健走08,8,2026/07/27,2026/08/02,是,85055
8,健走08,9,2026/08/03,2026/08/09,是,83406
8,健走08,10,2026/08/10,2026/08/16,是,89798
8,健走08,11,2026/08/17,2026/08/23,是,88149
8,健走08,12,2026/08/24,2026/08/30,是,86500
8,健走08,13,2026/08/31,2026/09/06,是,92892
8,健走08,14,2026/09/07,2026/09/13,是,91243
8,健走08,15,2026/09/14,2026/09/20,是,97635
8,健走08,16,2026/09/21,2026/09/27,是,95986
8,健走08,17,2026/09/28,2026/10/04,是,94337
8,健走08,18,2026/10/05,2026/10/11,是,100729
9,健走09,1,2026/06/08,2026/06/14,是,80511
9,健走09,2,2026/06/15,2026/06/21,是,78862
9,健走09,3,2026/06/22,2026/06/28,是,85254
9,健走09,4,2026/06/29,2026/07/05,是,83605
9,健走09,5,2026/07/06,2026/07/12,是,81956
9,健走09,6,2026/07/13,2026/07/19,是,88348
9,健走09,7,2026/07/20,2026/07/26,是,86699
9,健走09,8,2026/07/27,2026/08/02,是,85050
9,健走09,9,2026/08/03,2026/08/09,是,91442
9,健走09,10,2026/08/10,2026/08/16,是,89793
9,健走09,11,2026/08/17,2026/08/23,是,96185
9,健走09,12,2026/08/24,2026/08/30,是,94536
9,健走09,13,2026/08/31,2026/09/06,是,92887
9,健走09,14,2026/09/07,2026/09/13,是,99279
9,健走09,15,2026/09/14,2026/09/20,是,97630
9,健走09,16,2026/09/21,2026/09/27,是,95981
9,健走09,17,2026/09/28,2026/10/04,是,102373
9,健走09,18,2026/10/05,2026/10/11,是,100724
10,健走10,1,2026/06/08,2026/06/14,是,80506
10,健走10,2,2026/06/15,2026/06/21,是,86898
10,健走10,3,2026/06/22,2026/06/28,是,85249
10,健走10,4,2026/06/29,2026/07/05,是,83600
10,健走10,5,2026/07/06,2026/07/12,是,89992
10,健走10,6,2026/07/13,2026/07/19,是,88343
10,健走10,7,2026/07/20,2026/07/26,是,94735
10,健走10,8,2026/07/27,2026/08/02,是,93086
10,健走10,9,2026/08/03,2026/08/09,是,91437
10,健走10,10,2026/08/10,2026/08/16,是,97829
10,健走10,11,2026/08/17,2026/08/23,是,96180
10,健走10,12,2026/08/24,2026/08/30,是,94531
10,健走10,13,2026/08/31,2026/09/06,是,100923
10,健走10,14,2026/09/07,2026/09/13,是,99274
10,健走10,15,2026/09/14,2026/09/20,是,97625
10,健走10,16,2026/09/21,2026/09/27,是,104017
10,健走10,17,2026/09/28,2026/10/04,是,102368
10,健走10,18,2026/10/05,2026/10/11,是,108760
11,健走11,1,2026/06/08,2026/06/14,是,88542
11,健走11,2,2026/06/15,2026/06/21,是,86893
11,健走11,3,2026/06/22,2026/06/28,是,93285
11,健走11,4,2026/06/29,2026/07/05,是,91636
11,健走11,5,2026/07/06,2026/07/12,是,89987
11,健走11,6,2026/07/13,2026/07/19,是,96379
11,健走11,7,2026/07/20,2026/07/26,是,94730
11,健走11,8,2026/07/27,2026/08/02,是,93081
11,健走11,9,2026/08/03,2026/08/09,是,99473
11,健走11,10,2026/08/10,2026/08/16,是,97824
11,健走11,11,2026/08/17,2026/08/23,是,96175
11,健走11,12,2026/08/24,2026/08/30,是,102567
11,健走11,13,2026/08/31,2026/09/06,是,100918
11,健走11,14,2026/09/07,2026/09/13,是,107310
11,健走11,15,2026/09/14,2026/09/20,是,105661
11,健走11,16,2026/09/21,2026/09/27,是,104012
11,健走11,17,2026/09/28,2026/10/04,是,110404
11,健走11,18,2026/10/05,2026/10/11,是,108755
12,健走12,1,2026/06/08,2026/06/14,是,88537
12,健走12,2,2026/06/15,2026/06/21,是,94929
12,健走12,3,2026/06/22,2026/06/28,是,93280
12,健走12,4,2026/06/29,2026/07/05,是,91631
12,健走12,5,2026/07/06,2026/07/12,是,98023
12,健走12,6,2026/07/13,2026/07/19,是,96374
12,健走12,7,2026/07/20,2026/07/26,是,94725
12,健走12,8,2026/07/27,2026/08/02,是,101117
12,健走12,9,2026/08/03,2026/08/09,是,99468
12,健走12,10,2026/08/10,2026/08/16,是,105860
12,健走12,11,2026/08/17,2026/08/23,是,104211
12,健走12,12,2026/08/24,2026/08/30,是,102562
12,健走12,13,2026/08/31,2026/09/06,是,108954
12,健走12,14,2026/09/07,2026/09/13,是,107305
12,健走12,15,2026/09/14,2026/09/20,是,105656
12,健走12,16,2026/09/21,2026/09/27,是,112048
12,健走12,17,2026/09/28,2026/10/04,是,110399
12,健走12,18,2026/10/05,2026/10/11,是,108750
13,健走13,1,2026/06/08,2026/06/14,是,96573
13,健走13,2,2026/06/15,2026/06/21,是,94924
13,健走13,3,2026/06/22,2026/06/28,是,93275
13,健走13,4,2026/06/29,2026/07/05,是,99667
13,健走13,5,2026/07/06,2026/07/12,是,98018
13,健走13,6,2026/07/13,2026/07/19,是,104410
13,健走13,7,2026/07/20,2026/07/26,是,102761
13,健走13,8,2026/07/27,2026/08/02,是,101112
13,健走13,9,2026/08/03,2026/08/09,是,107504
13,健走13,10,2026/08/10,2026/08/16,是,105855
13,健走13,11,2026/08/17,2026/08/23,是,104206
13,健走13,12,2026/08/24,2026/08/30,是,110598
13,健走13,13,2026/08/31,2026/09/06,是,108949
13,健走13,14,2026/09/07,2026/09/13,是,107300
13,健走13,15,2026/09/14,2026/09/20,是,113692
13,健走13,16,2026/09/21,2026/09/27,是,112043
13,健走13,17,2026/09/28,2026/10/04,是,118435
13,健走13,18,2026/10/05,2026/10/11,是,116786
14,健走14,1,2026/06/08,2026/06/14,是,96568
14,健走14,2,2026/06/15,2026/06/21,是,102960
14,健走14,3,2026/06/22,2026/06/28,是,101311
14,健走14,4,2026/06/29,2026/07/05,是,99662
14,健走14,5,2026/07/06,2026/07/12,是,106054
14,健走14,6,2026/07/13,2026/07/19,是,104405
14,健走14,7,2026/07/20,2026/07/26,是,102756
14,健走14,8,2026/07/27,2026/08/02,是,109148
14,健走14,9,2026/08/03,2026/08/09,是,107499
14,健走14,10,2026/08/10,2026/08/16,是,105850
14,健走14,11,2026/08/17,2026/08/23,是,112242
14,健走14,12,2026/08/24,2026/08/30,是,110593
14,健走14,13,2026/08/31,2026/09/06,是,116985
14,健走14,14,2026/09/07,2026/09/13,是,115336
14,健走14,15,2026/09/14,2026/09/20,是,113687
14,健走14,16,2026/09/21,2026/09/27,是,120079
14,健走14,17,2026/09/28,2026/10/04,是,118430
14,健走14,18,2026/10/05,2026/10/11,是,116781
15,健走15,1,2026/06/08,2026/06/14,是,104604
15,健走15,2,2026/06/15,2026/06/21,是,102955
15,健走15,3,2026/06/22,2026/06/28,是,101306
15,健走15,4,2026/06/29,2026/07/05,是,107698
15,健走15,5,2026/07/06,2026/07/12,是,106049
15,健走15,6,2026/07/13,2026/07/19,是,104400
15,健走15,7,2026/07/20,2026/07/26,是,110792
15,健走15,8,2026/07/27,2026/08/02,是,109143
15,健走15,9,2026/08/03,2026/08/09,是,115535
15,健走15,10,2026/08/10,2026/08/16,是,113886
15,健走15,11,2026/08/17,2026/08/23,是,112237
15,健走15,12,2026/08/24,2026/08/30,是,118629
15,健走15,13,2026/08/31,2026/09/06,是,116980
15,健走15,14,2026/09/07,2026/09/13,是,115331
15,健走15,15,2026/09/14,2026/09/20,是,121723
15,健走15,16,2026/09/21,2026/09/27,是,120074
15,健走15,17,2026/09/28,2026/10/04,是,118425
15,健走15,18,2026/10/05,2026/10/11,是,124817
16,健走16,1,2026/06/08,2026/06/14,是,104599
16,健走16,2,2026/06/15,2026/06/21,是,102950
16,健走16,3,2026/06/22,2026/06/28,是,109342
16,健走16,4,2026/06/29,2026/07/05,是,107693
16,健走16,5,2026/07/06,2026/07/12,是,114085
16,健走16,6,2026/07/13,2026/07/19,是,112436
16,健走16,7,2026/07/20,2026/07/26,是,110787
16,健走16,8,2026/07/27,2026/08/02,是,117179
16,健走16,9,2026/08/03,2026/08/09,是,115530
16,健走16,10,2026/08/10,2026/08/16,是,113881
16,健走16,11,2026/08/17,2026/08/23,是,120273
16,健走16,12,2026/08/24,2026/08/30,是,118624
16,健走16,13,2026/08/31,2026/09/06,是,116975
16,健走16,14,2026/09/07,2026/09/13,是,123367
16,健走16,15,2026/09/14,2026/09/20,是,121718
16,健走16,16,2026/09/21,2026/09/27,是,128110
16,健走16,17,2026/09/28,2026/10/04,是,126461
16,健走16,18,2026/10/05,2026/10/11,是,124812
17,健走17,1,2026/06/08,2026/06/14,是,112635
17,健走17,2,2026/06/15,2026/06/21,是,110986
17,健走17,3,2026/06/22,2026/06/28,是,109337
17,健走17,4,2026/06/29,2026/07/05,是,115729
17,健走17,5,2026/07/06,2026/07/12,是,114080
17,健走17,6,2026/07/13,2026/07/19,是,112431
17,健走17,7,2026/07/20,2026/07/26,是,118823
17,健走17,8,2026/07/27,2026/08/02,是,117174
17,健走17,9,2026/08/03,2026/08/09,是,115525
17,健走17,10,2026/08/10,2026/08/16,是,121917
17,健走17,11,2026/08/17,2026/08/23,是,120268
17,健走17,12,2026/08/24,2026/08/30,是,126660
17,健走17,13,2026/08/31,2026/09/06,是,125011
17,健走17,14,2026/09/07,2026/09/13,是,123362
17,健走17,15,2026/09/14,2026/09/20,是,129754
17,健走17,16,2026/09/21,2026/09/27,是,128105
17,健走17,17,2026/09/28,2026/10/04,是,126456
17,健走17,18,2026/10/05,2026/10/11,是,132848
18,健走18,1,2026/06/08,2026/06/14,是,112630
18,健走18,2,2026/06/15,2026/06/21,是,110981
18,健走18,3,2026/06/22,2026/06/28,是,117373
18,健走18,4,2026/06/29,2026/07/05,是,115724
18,健走18,5,2026/07/06,2026/07/12,是,114075
18,健走18,6,2026/07/13,2026/07/19,是,120467
18,健走18,7,2026/07/20,2026/07/26,是,118818
18,健走18,8,2026/07/27,2026/08/02,是,125210
18,健走18,9,2026/08/03,2026/08/09,是,123561
18,健走18,10,2026/08/10,2026/08/16,是,121912
18,健走18,11,2026/08/17,2026/08/23,是,128304
18,健走18,12,2026/08/24,2026/08/30,是,126655
18,健走18,13,2026/08/31,2026/09/06,是,125006
18,健走18,14,2026/09/07,2026/09/13,是,131398
18,健走18,15,2026/09/14,2026/09/20,是,129749
18,健走18,16,2026/09/21,2026/09/27,是,128100
18,健走18,17,2026/09/28,2026/10/04,是,134492
18,健走18,18,2026/10/05,2026/10/11,是,132843
19,健走19,1,2026/06/08,2026/06/14,是,112625
19,健走19,2,2026/06/15,2026/06/21,是,119017
19,健走19,3,2026/06/22,2026/06/28,是,117368
19,健走19,4,2026/06/29,2026/07/05,是,123760
19,健走19,5,2026/07/06,2026/07/12,是,122111
19,健走19,6,2026/07/13,2026/07/19,是,120462
19,健走19,7,2026/07/20,2026/07/26,是,126854
19,健走19,8,2026/07/27,2026/08/02,是,125205
19,健走19,9,2026/08/03,2026/08/09,是,123556
19,健走19,10,2026/08/10,2026/08/16,是,129948
19,健走19,11,2026/08/17,2026/08/23,是,128299
19,健走19,12,2026/08/24,2026/08/30,是,126650
19,健走19,13,2026/08/31,2026/09/06,是,133042
19,健走19,14,2026/09/07,2026/09/13,是,131393
19,健走19,15,2026/09/14,2026/09/20,是,137785
19,健走19,16,2026/09/21,2026/09/27,是,136136
19,健走19,17,2026/09/28,2026/10/04,是,134487
19,健走19,18,2026/10/05,2026/10/11,是,140879
20,健走20,1,2026/06/08,2026/06/14,是,120661
20,健走20,2,2026/06/15,2026/06/21,是,119012
20,健走20,3,2026/06/22,2026/06/28,是,125404
20,健走20,4,2026/06/29,2026/07/05,是,123755
20,健走20,5,2026/07/06,2026/07/12,是,122106
20,健走20,6,2026/07/13,2026/07/19,是,128498
20,健走20,7,2026/07/20,2026/07/26,是,126849
20,健走20,8,2026/07/27,2026/08/02,是,125200
20,健走20,9,2026/08/03,2026/08/09,是,131592
20,健走20,10,2026/08/10,2026/08/16,是,129943
20,健走20,11,2026/08/17,2026/08/23,是,136335
20,健走20,12,2026/08/24,2026/08/30,是,134686
20,健走20,13,2026/08/31,2026/09/06,是,133037
20,健走20,14,2026/09/07,2026/09/13,是,139429
20,健走20,15,2026/09/14,2026/09/20,是,137780
20,健走20,16,2026/09/21,2026/09/27,是,136131
20,健走20,17,2026/09/28,2026/10/04,是,142523
20,健走20,18,2026/10/05,2026/10/11,是,140874
21,健走21,1,2026/06/08,2026/06/14,是,120656
21,健走21,2,2026/06/15,2026/06/21,是,127048
21,健走21,3,2026/06/22,2026/06/28,是,125399
21,健走21,4,2026/06/29,2026/07/05,是,123750
21,健走21,5,2026/07/06,2026/07/12,是,130142
21,健走21,6,2026/07/13,2026/07/19,是,128493
21,健走21,7,2026/07/20,2026/07/26,是,134885
21,健走21,8,2026/07/27,2026/08/02,是,133236
21,健走21,9,2026/08/03,2026/08/09,是,131587
21,健走21,10,2026/08/10,2026/08/16,是,137979
21,健走21,11,2026/08/17,2026/08/23,是,136330
21,健走21,12,2026/08/24,2026/08/30,是,134681
21,健走21,13,2026/08/31,2026/09/06,是,141073
21,健走21,14,2026/09/07,2026/09/13,是,139424
21,健走21,15,2026/09/14,2026/09/20,是,137775
21,健走21,16,2026/09/21,2026/09/27,是,144167
21,健走21,17,2026/09/28,2026/10/04,是,142518
21,健走21,18,2026/10/05,2026/10/11,是,148910
22,健走22,1,2026/06/08,2026/06/14,是,128692
22,健走22,2,2026/06/15,2026/06/21,是,127043
22,健走22,3,2026/06/22,2026/06/28,是,133435
22,健走22,4,2026/06/29,2026/07/05,是,131786
22,健走22,5,2026/07/06,2026/07/12,是,130137
22,健走22,6,2026/07/13,2026/07/19,是,136529
22,健走22,7,2026/07/20,2026/07/26,是,134880
22,健走22,8,2026/07/27,2026/08/02,是,133231
22,健走22,9,2026/08/03,2026/08/09,是,139623
22,健走22,10,2026/08/10,2026/08/16,是,137974
22,健走22,11,2026/08/17,2026/08/23,是,136325
22,健走22,12,2026/08/24,2026/08/30,是,142717
22,健走22,13,2026/08/31,2026/09/06,是,141068
22,健走22,14,2026/09/07,2026/09/13,是,147460
22,健走22,15,2026/09/14,2026/09/20,是,145811
22,健走22,16,2026/09/21,2026/09/27,是,144162
22,健走22,17,2026/09/28,2026/10/04,是,150554
22,健走22,18,2026/10/05,2026/10/11,是,148905
23,健走23,1,2026/06/08,2026/06/14,是,128687
23,健走23,2,2026/06/15,2026/06/21,是,135079
23,健走23,3,2026/06/22,2026/06/28,是,133430
23,健走23,4,2026/06/29,2026/07/05,是,131781
23,健走23,5,2026/07/06,2026/07/12,是,138173
23,健走23,6,2026/07/13,2026/07/19,是,136524
23,健走23,7,2026/07/20,2026/07/26,是,134875
23,健走23,8,2026/07/27,2026/08/02,是,141267
23,健走23,9,2026/08/03,2026/08/09,是,139618
23,健走23,10,2026/08/10,2026/08/16,是,146010
23,健走23,11,2026/08/17,2026/08/23,是,144361
23,健走23,12,2026/08/24,2026/08/30,是,142712
23,健走23,13,2026/08/31,2026/09/06,是,149104
23,健走23,14,2026/09/07,2026/09/13,是,147455
23,健走23,15,2026/09/14,2026/09/20,是,145806
23,健走23,16,2026/09/21,2026/09/27,是,152198
23,健走23,17,2026/09/28,2026/10/04,是,150549
23,健走23,18,2026/10/05,2026/10/11,是,148900
24,健走24,1,2026/06/08,2026/06/14,是,136723
24,健走24,2,2026/06/15,2026/06/21,是,135074
24,健走24,3,2026/06/22,2026/06/28,是,133425
24,健走24,4,2026/06/29,2026/07/05,是,139817
24,健走24,5,2026/07/06,2026/07/12,是,138168
24,健走24,6,2026/07/13,2026/07/19,是,144560
24,健走24,7,2026/07/20,2026/07/26,是,142911
24,健走24,8,2026/07/27,2026/08/02,是,141262
24,健走24,9,2026/08/03,2026/08/09,是,147654
24,健走24,10,2026/08/10,2026/08/16,是,146005
24,健走24,11,2026/08/17,2026/08/23,是,144356
24,健走24,12,2026/08/24,2026/08/30,是,150748
24,健走24,13,2026/08/31,2026/09/06,是,149099
24,健走24,14,2026/09/07,2026/09/13,是,147450
24,健走24,15,2026/09/14,2026/09/20,是,153842
24,健走24,16,2026/09/21,2026/09/27,是,152193
24,健走24,17,2026/09/28,2026/10/04,是,158585
24,健走24,18,2026/10/05,2026/10/11,是,156936
25,健走25,1,2026/06/08,2026/06/14,是,136718
25,健走25,2,2026/06/15,2026/06/21,是,143110
25,健走25,3,2026/06/22,2026/06/28,是,141461
25,健走25,4,2026/06/29,2026/07/05,是,139812
25,健走25,5,2026/07/06,2026/07/12,是,146204
25,健走25,6,2026/07/13,2026/07/19,是,144555
25,健走25,7,2026/07/20,2026/07/26,是,142906
25,健走25,8,2026/07/27,2026/08/02,是,149298
25,健走25,9,2026/08/03,2026/08/09,是,147649
25,健走25,10,2026/08/10,2026/08/16,是,146000
25,健走25,11,2026/08/17,2026/08/23,是,152392
25,健走25,12,2026/08/24,2026/08/30,是,150743
25,健走25,13,2026/08/31,2026/09/06,是,157135
25,健走25,14,2026/09/07,2026/09/13,是,155486
25,健走25,15,2026/09/14,2026/09/20,是,153837
25,健走25,16,2026/09/21,2026/09/27,是,160229
25,健走25,17,2026/09/28,2026/10/04,是,158580
25,健走25,18,2026/10/05,2026/10/11,是,156931
26,健走26,1,2026/06/08,2026/06/14,否,144754
26,健走26,2,2026/06/15,2026/06/21,否,143105
26,健走26,3,2026/06/22,2026/06/28,否,141456
26,健走26,4,2026/06/29,2026/07/05,否,147848
26,健走26,5,2026/07/06,2026/07/12,否,146199
26,健走26,6,2026/07/13,2026/07/19,否,144550
26,健走26,7,2026/07/20,2026/07/26,否,150942
26,健走26,8,2026/07/27,2026/08/02,否,149293
26,健走26,9,2026/08/03,2026/08/09,否,155685
26,健走26,10,2026/08/10,2026/08/16,否,154036
26,健走26,11,2026/08/17,2026/08/23,否,152387
26,健走26,12,2026/08/24,2026/08/30,否,158779
26,健走26,13,2026/08/31,2026/09/06,否,157130
26,健走26,14,2026/09/07,2026/09/13,否,155481
26,健走26,15,2026/09/14,2026/09/20,否,161873
26,健走26,16,2026/09/21,2026/09/27,否,160224
26,健走26,17,2026/09/28,2026/10/04,否,158575
26,健走26,18,2026/10/05,2026/10/11,否,164967
27,健走27,1,2026/06/08,2026/06/14,否,144749
27,健走27,2,2026/06/15,2026/06/21,否,143100
27,健走27,3,2026/06/22,2026/06/28,否,149492
27,健走27,4,2026/06/29,2026/07/05,否,147843
27,健走27,5,2026/07/06,2026/07/12,否,154235
27,健走27,6,2026/07/13,2026/07/19,否,152586
27,健走27,7,2026/07/20,2026/07/26,否,150937
27,健走27,8,2026/07/27,2026/08/02,否,157329
27,健走27,9,2026/08/03,2026/08/09,否,155680
27,健走27,10,2026/08/10,2026/08/16,否,154031
27,健走27,11,2026/08/17,2026/08/23,否,160423
27,健走27,12,2026/08/24,2026/08/30,否,158774
27,健走27,13,2026/08/31,2026/09/06,否,157125
27,健走27,14,2026/09/07,2026/09/13,否,163517
27,健走27,15,2026/09/14,2026/09/20,否,161868
27,健走27,16,2026/09/21,2026/09/27,否,168260
27,健走27,17,2026/09/28,2026/10/04,否,166611
27,健走27,18,2026/10/05,2026/10/11,否,164962
